t_s,sensor_deg,leap_deg,arducam_deg,sensor_minus_arducam_deg
180.41548489423985,23.723750717176408,19.519477652705422,24.751469031699216,-1.027718314522808
180.57851084859988,11.819420394983675,5.051860665064227,11.356597167263718,0.4628232277199569
180.74931263625186,16.62630254427584,24.079018684431666,15.546885210800415,1.0794173334754262
180.9221832898783,10.895369695299202,6.629684166075002,10.619987326884694,0.27538236841450825
181.09282402713137,4.834756867509262,2.2872457284708094,4.251210353851491,0.5835465136577715
181.26252028286655,3.770621590184907,2.011855467619649,4.063905414533634,-0.29328382434872724
181.42758909289407,0,0.9377651845287939,-1.3909256186897774,1.3909256186897774
181.6009286081908,0,0.8911844315780049,0.8752201826469477,-0.8752201826469477
181.76446552458341,0.1373430925743454,0.49341821184132817,-0.4684348227458315,0.6057779153201769
181.933425435017,0.4043145009274165,0.8172153451536003,1.3413980274716182,-0.9370835265442017
182.0966399288176,0,0.4656325540977581,0.6927631663259324,-0.6927631663259324
182.26751354609613,0.26876347420418506,0.4430726866387096,0.8476446403889639,-0.5788811661847788
182.43913013048265,0,0.6036314337299671,-1.853737406788347,1.853737406788347
182.61375208218038,0.24113203865431918,0.8750614409412548,0.10418116485344028,0.1369508738008789
182.79003089027836,0.23320571279384555,0.9136670662936623,-0.15909366476004988,0.39229937755389543
182.96088261658852,0,0.6616588505286789,0.49960951222457095,-0.49960951222457095
183.13378681969908,0,0.588733662898435,-1.130107775655739,1.130107775655739
183.30570590300258,0.6740503645518549,0.8407378488178736,1.3888920441972172,-0.7148416796453624
183.47079495845875,0,0.8657184698906972,-1.6892634717746027,1.6892634717746027
183.63772547492226,0.48169875042597243,0.8460820340951624,0.4910856658347338,-0.009386915408761354
183.80556492591063,0.3120615241211099,0.4127709474049644,-1.0452945416683872,1.3573560657894972
183.975216801703,0.296465916111738,0.7266372293723942,0.8379963205003678,-0.5415304043886298
184.13932086011138,0.5590308719850368,0.4321823855356366,-0.3650911906890292,0.9241220626740659
184.30549308246097,0.189440985838281,0.6665814037977846,1.5451972407220913,-1.3557562548838102
184.46857811529412,0,0.5353616137634112,1.6689641757759042,-1.6689641757759042
184.64041348852186,0.5770999930324885,0.8614995342191124,2.137010246838537,-1.5599102538060483
184.80038043763915,0.5668629451322551,0.7474012225995215,2.504590584634573,-1.937727639502318
184.9614925336019,0.5229149664751347,0.5706582647594806,1.6885331279374973,-1.1656181614623626
185.12729074550438,0.1293426156142948,0.4747045262003091,-0.3764797604258302,0.505822376040125
185.28816306587538,0,0.6283756381459942,-0.20660328451668597,0.20660328451668597
185.46095789037204,0.15331280739830916,0.7807568269798804,1.276706630571991,-1.1233938231736817
185.6214653537389,0,0.7854679918548048,1.5104936818678878,-1.5104936818678878
185.78772150291996,0,0.46464643456766425,-1.2603722942245648,1.2603722942245648
185.95650839033772,0.05392854991404705,0.5970993782504043,-0.6338585651160992,0.6877871150301462
186.1234847535763,0,0.8806051247994147,0.588103184518616,-0.588103184518616
186.29387981246333,0,0.6701169513688885,-0.14522312513475333,0.14522312513475333
186.45449307872568,0.6304525360873003,0.8400826461314895,2.3844853212487536,-1.7540327851614532
186.61940196736495,0.410354523356227,0.9116447816534561,-0.36480458880865163,0.7751591121648786
186.79089388359557,0,0.7151693986520431,0.45532590151353936,-0.45532590151353936
186.95112979528005,0,0.4808312573658645,0.006984011616370411,-0.006984011616370411
187.11296598148994,0.24269406199247928,0.8133138539329181,-0.7227250330254478,0.9654190950179271
187.285741776459,0.0436402474048302,0.8582035099022424,1.7364365096233325,-1.6927962622185022
187.44614558200655,0.20799871073735335,0.4022754095190747,1.0812368526061917,-0.8732381418688384
187.62051951799097,0,0.4684376690494766,-0.22317847661890122,0.22317847661890122
187.79478696228455,0,0.5166359313527589,0.5995117260605922,-0.5995117260605922
187.9666443494065,0.42621304190750414,0.5906895098547901,0.1062711921200788,0.31994184978742535
188.1426258216484,0,0.8561855985819553,0.6960391728463782,-0.6960391728463782
188.3168904552863,0,0.5741613712747605,-1.5675044395968967,1.5675044395968967
188.48871605836192,0,0.6820521537413651,-1.2029574445161169,1.2029574445161169
188.65661492372698,0,0.7104510308469809,0.709687515284072,-0.709687515284072
188.8320582423114,0.0064797122008350555,0.6430706753867473,-0.08161649581518109,0.08809620801601614
189.0085147482238,0,0.6656175482804383,1.1321876631090688,-1.1321876631090688
