iso_time,mono_time_s,sensor_raw_deg,sensor_filt_deg,cmd_diff_deg,enc_diff_deg
2025-11-01T20:20:04.323975,12390.303713,0.0,0.0,-3.437746770784917,nan
2025-11-01T20:20:04.344173,12390.323910,0.0,0.0,0.0,0.7031269939177927
2025-11-01T20:20:04.364061,12390.343797,0.0,0.0,0.0,-0.5273452454383445
2025-11-01T20:20:04.383954,12390.363694,0.0,0.0,0.0,-0.5273452454383445
2025-11-01T20:20:04.403924,12390.383660,0.0,0.0,0.0,-1.142581365116413
2025-11-01T20:20:04.424026,12390.403762,0.0,0.0,0.0,-0.26367262271917224
2025-11-01T20:20:04.444170,12390.423907,0.0,0.0,0.0,-0.26367262271917224
2025-11-01T20:20:04.464369,12390.444105,0.0,0.0,0.0,-0.26367262271917224
2025-11-01T20:20:04.483994,12390.463731,0.0,0.0,0.0,-0.26367262271917224
2025-11-01T20:20:04.505714,12390.485450,0.0,0.0,0.0,-0.26367262271917224
2025-11-01T20:20:04.524137,12390.503874,0.0,0.0,0.0,-0.08789087423972408
2025-11-01T20:20:04.544174,12390.523911,0.0,0.0,0.0,-0.08789087423972408
2025-11-01T20:20:04.564059,12390.543797,0.0,0.0,0.0,-0.17578174847944816
2025-11-01T20:20:04.583918,12390.563654,0.0,0.0,0.0,-0.17578174847944816
2025-11-01T20:20:04.603615,12390.583351,0.0,0.0,0.0,-0.17578174847944816
2025-11-01T20:20:04.624185,12390.603921,0.0,0.0,0.0,-0.17578174847944816
2025-11-01T20:20:04.644027,12390.623763,0.0,0.0,0.0,-0.17578174847944816
2025-11-01T20:20:04.664059,12390.643795,0.0,0.0,0.0,-0.17578174847944816
2025-11-01T20:20:04.684012,12390.663748,0.0,0.0,0.0,-0.17578174847944816
2025-11-01T20:20:04.704878,12390.684615,0.0,0.0,0.0,-0.17578174847944816
2025-11-01T20:20:04.724048,12390.703786,0.0,0.0,0.0,-0.17578174847944816
2025-11-01T20:20:04.744012,12390.723749,0.0,0.0,0.0,-0.17578174847944816
2025-11-01T20:20:04.764129,12390.743866,0.0,0.0,0.0,-0.17578174847944816
2025-11-01T20:20:04.784154,12390.763891,0.0,0.0,0.0,-0.17578174847944816
2025-11-01T20:20:04.804038,12390.783775,0.0,0.0,0.0,-0.17578174847944816
2025-11-01T20:20:04.823892,12390.803628,0.0,0.0,0.0,-0.17578174847944816
2025-11-01T20:20:04.843820,12390.823556,0.0,0.0,0.0,-0.08789087423972408
2025-11-01T20:20:04.864050,12390.843786,0.0,0.0,0.0,-0.26367262271917224
2025-11-01T20:20:04.884051,12390.863791,0.0,0.0,0.0,-0.17578174847944816
2025-11-01T20:20:04.905082,12390.884818,0.0,0.0,0.0,-0.17578174847944816
