t_s,sensor_deg,leap_deg,arducam_deg,sensor_minus_arducam_deg
11.549996,0.010283,0.615236,0.261652593443038,-0.251369593443038
11.716522,0.003642,0.615236,0.8141171132497039,-0.8104751132497039
11.884679,0.045389,0.615236,1.831452204798047,-1.7860632047980471
12.047106,0.032668,0.615236,1.4835616495877861,-1.4508936495877862
12.215634,0.000784,0.615236,-0.36675293643541684,0.36753693643541685
12.382419,0.000039,0.615236,-0.7372827292871774,0.7373217292871774
12.547509,0.000002,0.615236,-1.9456865822490883,1.9456885822490884
12.709277,0,0.615236,-1.1019115438678617,1.1019115438678617
12.875417,0,0.615236,-0.7662891946197035,0.7662891946197035
13.039276,0,0.615236,2.0,-2.0
13.211316,0,0.615236,-1.2330881898099126,1.2330881898099126
13.38381,0,0.615236,-0.38472083510909333,0.38472083510909333
13.550163,0,0.615236,-0.5119879962280973,0.5119879962280973
13.717929,0,0.615236,1.3920441716405392,-1.3920441716405392
13.887431,0.033761,0.615236,0.5647779857818315,-0.5310169857818314
14.060323,1.491557,0.615236,2.1461901838019104,-0.6546331838019104
14.242476,4.778435,2.548835,3.6131691946604914,1.1652658053395086
14.410808,10.268849,5.976566,9.863953652014084,0.4048953479859154
14.585902,14.905997,11.689459,16.723930708341495,-1.8179337083414957
14.761512,18.833771,16.787102,18.56687494173025,0.26689605826974727
14.934041,22.597359,20.654301,21.490610792652937,1.1067482073470636
15.107519,25.002645,22.587887,25.734621248555044,-0.7319762485550427
15.275326,27.172365,26.015617,28.447121054265875,-1.2747560542658753
15.443598,26.824398,26.542961,28.440747858939172,-1.6163498589391736
15.613683,26.707825,26.542961,26.74152285022639,-0.03369785022638894
15.777625,22.206154,26.542961,20.477400215755367,1.7287537842446348
15.946293,13.850163,19.775393,13.374967499125457,0.475195500874543
16.112545,7.523689,14.414062,6.846214208500754,0.6774747914992458
16.280303,2.461422,6.240238,2.9634778611837733,-0.5020558611837731
16.445151,0.065262,1.669927,-1.367882645187837,1.433144645187837
16.612184,0.000082,0.703127,1.4568684571333148,-1.456786457133315
16.780152,0.000001,0.791018,1.5840475293847969,-1.584046529384797
16.951773,0,0.703127,0.9658790345672694,-0.9658790345672694
17.119449,0,0.703127,-1.5782219497412244,1.5782219497412244
17.292114,0,0.703127,-0.9221354375123245,0.9221354375123245
17.46016,0,0.615236,-0.7378563030280965,0.7378563030280965
17.632082,0,0.615236,0.8340864224201494,-0.8340864224201494
17.801502,0,0.615236,-1.180977562418187,1.180977562418187
17.975771,0,0.615236,0.3444969649647205,-0.3444969649647205
18.144065,0,0.615236,-1.0919023971386161,1.0919023971386161
18.317788,0,0.615236,1.845583973714837,-1.845583973714837
18.489915,0,0.615236,-0.4929771102336311,0.4929771102336311
18.661331,0,0.615236,-1.777646220863657,1.777646220863657
18.828854,0,0.703127,1.1469846561235277,-1.1469846561235277
19.001312,0,0.615236,-0.20577630555003384,0.20577630555003384
19.180869,0,0.703127,-1.6471755395139651,1.6471755395139651
19.35748,0,0.703127,-1.7893578733798703,1.7893578733798703
19.533692,0,0.703127,1.9053202085723233,-1.9053202085723233
19.705312,0,0.703127,-0.6924013842838147,0.6924013842838147
19.868622,0,0.615236,1.9341083234624301,-1.9341083234624301
20.047341,0,0.615236,-0.7174826309508711,0.7174826309508711
20.216196,0,0.615236,1.4720312145763705,-1.4720312145763705
20.397328,0,0.703127,-0.1819685858921658,0.1819685858921658
20.570548,0,0.615236,0.4451893808742826,-0.4451893808742826
20.740747,0,0.615236,-1.443199826970778,1.443199826970778
20.904935,0,0.615236,-0.05577287848135226,0.05577287848135226
21.078297,0,0.615236,-0.445821419289824,0.445821419289824
21.242068,0,0.615236,1.4338531121997666,-1.4338531121997666
21.410704,0.027684,0.615236,-0.39747324045782345,0.42515724045782344
21.576991,3.937307,0.615236,5.770973282209497,-1.8336662822094971
21.74361,7.852798,6.064456,8.129664257289493,-0.2768662572894929
21.909697,10.393209,9.052732,10.166345681869698,0.22686331813030236
22.07569,13.497828,9.228515,15.207059771705438,-1.7092317717054382
22.239829,15.487554,14.062499,16.282184140138046,-0.7946301401380467
22.404114,17.50009,15.380862,15.674592215377878,1.8254977846221223
22.568816,19.09836,17.490229,20.94041282033323,-1.8420528203332296
22.740869,20.289501,19.160156,20.402032212585777,-0.11253121258577536
